id;event_name;event_date;event_end_date;how_many_instances;cycle_length;cycle_unit;category;description;userlogin
1;Tuna integrated deposit;2021-04-06T00:39:05;2021-04-06T02:23:29;97725;67475;YEARS;SPORTS;Missouri deposit;Sao
2;Account out-of-the-box Shoes;2021-04-06T00:11:36;2021-04-05T21:54:17;43003;55308;WEEKS;RECREATION;data-warehouse Bedfordshire;Chicken Paradigm
3;Corporate connecting up;2021-04-05T15:07:38;2021-04-05T23:33:15;26461;92842;YEARS;RECREATION;portals Ergonomic payment;quantify discrete Gorgeous
4;Factors RSS maximize;2021-04-06T00:05:38;2021-04-05T23:04:32;25388;1217;WEEKS;STUDYING;Rustic;Hampshire green
5;green;2021-04-05T22:29:11;2021-04-05T20:27:21;68368;78166;DAYS;RECREATION;Cotton Bike transform;real-time Computer International
6;Shoal;2021-04-05T20:17:55;2021-04-06T04:19:23;63235;81029;WEEKS;RECREATION;user-centric Buckinghamshire;uniform Books
7;Sleek American;2021-04-05T23:12:14;2021-04-06T00:22:30;33655;49121;WEEKS;STUDYING;copy North bypass;logistical
8;maximized Infrastructure Accountability;2021-04-05T14:58:16;2021-04-05T18:04:19;13998;57921;DAYS;STUDYING;transmitting Tuna;Brazilian Solomon deposit
9;optical Belarus Checking;2021-04-05T21:20:49;2021-04-06T01:55:45;5343;38925;WEEKS;SPORTS;Cambridgeshire Savings indigo;cyan
10;JBOD invoice Beauty;2021-04-06T04:19:42;2021-04-05T21:35:50;29233;47346;DAYS;STUDYING;optimal;Books clicks-and-mortar model
