id;event_name;event_date;event_end_date;how_many_instances;cycle_length;cycle_unit;category;description;userlogin
1;definition Frozen;2021-05-10T21:50:51;2021-05-11T00:52:13;49579;38113;MONTHS;RECREATION;RAM;Borders implement
2;cyan Cambridgeshire;2021-05-10T13:38:36;2021-05-11T03:04:31;46480;78487;YEARS;STUDYING;hack Dollar transmitter;reciprocal
3;Implementation withdrawal;2021-05-11T06:59:02;2021-05-11T03:49:33;67688;61231;WEEKS;RECREATION;Loan Regional Wyoming;Table
4;data-warehouse Dirham mobile;2021-05-11T00:13:10;2021-05-10T19:16:33;6422;85382;MONTHS;SPORTS;Ville Cambridgeshire architectures;invoice
5;Identity Nebraska;2021-05-10T15:24:11;2021-05-10T21:07:14;35989;63466;DAYS;RECREATION;override open-source generate;Developer system
6;AI software multi-byte;2021-05-11T05:53:33;2021-05-10T09:02:06;6931;34471;DAYS;STUDYING;Licensed JBOD Avon;monitor
7;Account silver Small;2021-05-11T04:57:48;2021-05-10T09:41:56;66450;61898;WEEKS;RECREATION;Metal orchid Computer;cross-platform
8;Jamaican;2021-05-11T02:46:25;2021-05-10T09:11:08;64553;23160;DAYS;SPORTS;Bhutan task-force;Cambridgeshire Future-proofed Implementation
9;interface;2021-05-11T07:02:12;2021-05-10T21:39:55;89073;84949;MONTHS;STUDYING;program scale;Unbranded
10;Architect bypassing SCSI;2021-05-10T23:08:34;2021-05-11T02:42:33;49080;59559;DAYS;STUDYING;green array;Legacy
